id,title,overview,genre,label
1025527,A Perseguição,"Anos depois de não conseguir resolver o assassinato de uma jovem, um detetetive se vê obrigado a reabrir o caso quando um crime semelhante acontece. Faltando apenas 6 dias para o caso ser definitivamente arquivado, ele sente o dever de solucioná-lo e evitar que outra criança sofra o mesmo destino.",Ação,0
507244,Caçadores do Fim do Mundo,"Uma década após uma tempestade solar devastar o planeta e eliminar toda a tecnologia, um ex-soldado sobrevive caçando tesouros perdidos para os poucos poderosos que ainda restam. Sua nova missão é recuperar a Mona Lisa, de Leonardo da Vinci. Ele se une uma outra caçadora e se vê em uma perigosa corrida contra um senhor da guerra implacável que também está atrás da relíquia. Cercado por enigmas e ameaças, terá que escolher entre se apegar ao passado ou lutar por um novo futuro.​",Ficção científica,3
755898,A Guerra dos Mundos,"Will Radford é um renomado analista de cibersegurança do Departamento de Segurança Interna dos Estados Unidos, encarregado de rastrear possíveis ameaças à segurança nacional por meio de um programa de vigilância em massa. No entanto, um ataque inesperado por uma entidade desconhecida o leva a suspeitar que o governo esteja escondendo algo dele… e do restante do mundo.",Ficção científica,3
1218925,Chainsaw Man – O Filme: Arco da Reze,"Denji vive como o temido Homem-Motosserra, um jovem com coração de demônio que integra a Divisão Especial 4 de Caçadores de Demônios. Após um encontro marcante com Makima, a mulher de seus sonhos, ele busca refúgio da chuva e acaba conhecendo Reze, a misteriosa atendente de um café.",Ação,0
861451,O Guerreiro,"A jornada de um homem que descobre a si mesmo, encontra o amor e luta por sua terra natal - será que ele conseguirá manter o controle em todas as três frentes?",Ação,0
1511789,Captain Hook - The Cursed Tides,"Após uma derrota devastadora sofrida por seu arquiinimigo, Almirante Smee, o notório Capitão James Hook encontra refúgio na cidade costeira de Eldritch Landing, onde forma uma aliança improvável com Silas Blackweather, um ferreiro local em busca de vingança pelo assassinato de sua irmã. Enquanto eles fogem dos soldados casacas vermelhas de Smee na densa floresta da ilha, lutas de espadas implacáveis, maldições antigas e motivos conflitantes desafiarão sua busca compartilhada por vingança. Juntos, Hook e Silas navegam em águas desconhecidas para enfrentar o traiçoeiro Almirante Smee, embarcando em uma jornada que redefinirá o legado duradouro do Capitão Gancho.",Ação,0
1311031,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,"Enquanto os membros dos caçadores e os Hashira participavam de um rigoroso programa de fortalecimento coletivo, conhecido como Treinamento dos Hashira, em preparação para a batalha final contra os demônios, Muzan Kibutsuji aparece na Mansão Ubuyashiki. Com a vida do líder da organização em risco, Tanjiro e os Hashira correm até o quartel-general, mas acabam sendo lançados, pelas mãos de Muzan, em uma queda profunda rumo a um espaço misterioso para um confronto final, o Castelo Infinito.",Ação,0
1305717,Hunting Grounds,"Uma mãe que foge do marido ligado à máfia encontra abrigo com um andarilho chamado Jake, mas quando os capangas dele se aproximam, Jake se revela ainda mais perigoso do que quem ela tentava evitar.",Ação,0
1156594,Nossa Culpa,"O casamento de Jenna e Lion marca o tão esperado reencontro entre Noah e Nick após o término. A incapacidade de Nick de perdoar Noah é uma barreira intransponível. Ele, herdeiro dos negócios do avô, e ela, iniciando a vida profissional, evitam alimentar uma chama ainda acesa. Mas, agora que seus caminhos se cruzaram novamente, será o amor mais forte que o ressentimento?",Drama,2
1284120,A Meia-Irmã Feia,"Em um reino de conto de fadas onde a beleza é um negócio brutal, Elvira luta para competir com sua meia-irmã incrivelmente linda, e ela fará de tudo para chamar a atenção do príncipe. Uma versão moderna e bem diferente do Conto da ""Cinderela"".",Terror,4
